,Current Trading Date,Previous  Trading Date,Current Day Adjusted CLose Price,Previous Day Adjusted Close Price,Percentage Price Change,Current Volume,Previous Volume,Distribution_Day,vol_diff
2004,2015-10-28,2015-10-27,8171,8232,-0.75,188900,156700,True,32200
2005,2015-10-29,2015-10-28,8111,8171,-0.73,217500,188900,True,28600
2010,2015-11-05,2015-11-04,7955,8040,-1.05,132100,122100,True,10000
2021,2015-11-24,2015-11-23,7831,7849,-0.22,130600,127000,True,3600
2028,2015-12-04,2015-12-03,7781,7864,-1.05,152500,125700,True,26800
2031,2015-12-09,2015-12-08,7612,7701,-1.16,140000,135100,True,4900
2033,2015-12-11,2015-12-10,7610,7683,-0.95,167800,140800,True,27000
2038,2015-12-18,2015-12-17,7761,7844,-1.05,191400,175900,True,15500
2050,2016-01-06,2016-01-05,7741,7784,-0.56,147100,145200,True,1900
2051,2016-01-07,2016-01-06,7568,7741,-2.23,188900,147100,True,41800
2053,2016-01-11,2016-01-08,7563,7601,-0.49,189000,157400,True,31600
2058,2016-01-18,2016-01-15,7351,7437,-1.17,233600,197500,True,36100
2060,2016-01-20,2016-01-19,7309,7435,-1.69,225600,188300,True,37300
2061,2016-01-21,2016-01-20,7276,7309,-0.44,240700,225600,True,15100
2068,2016-02-02,2016-02-01,7455,7555,-1.33,230200,200400,True,29800
2073,2016-02-09,2016-02-08,7298,7387,-1.21,212100,171500,True,40600
2074,2016-02-10,2016-02-09,7215,7298,-1.13,246900,212100,True,34800
2075,2016-02-11,2016-02-10,6976,7215,-3.32,292300,246900,True,45400
2083,2016-02-23,2016-02-22,7109,7234,-1.73,194400,154400,True,40000
2084,2016-02-24,2016-02-23,7018,7109,-1.28,199700,194400,True,5300
2085,2016-02-25,2016-02-24,6970,7018,-0.69,283100,199700,True,83400
2087,2016-02-29,2016-02-26,6987,7029,-0.61,473400,206700,True,266700
2097,2016-03-15,2016-03-14,7460,7538,-1.04,193700,166900,True,26800
2104,2016-03-28,2016-03-23,7615,7716,-1.31,242400,199600,True,42800
2110,2016-04-05,2016-04-04,7603,7758,-2.01,203800,155500,True,48300
2112,2016-04-07,2016-04-06,7546,7614,-0.89,234400,165600,True,68800
2124,2016-04-28,2016-04-27,7847,7979,-1.66,292500,206800,True,85700
2127,2016-05-03,2016-05-02,7747,7805,-0.75,186500,146300,True,40200
2128,2016-05-04,2016-05-03,7706,7747,-0.52,199700,186500,True,13200
2133,2016-05-11,2016-05-10,7848,7887,-0.49,214100,162000,True,52100
2135,2016-05-13,2016-05-12,7814,7900,-1.08,179500,152700,True,26800
2139,2016-05-19,2016-05-18,7783,7870,-1.1,170400,156400,True,14000
2141,2016-05-23,2016-05-20,7731,7749,-0.24,172000,157000,True,15000
2147,2016-05-31,2016-05-30,8160,8178,-0.22,471000,247400,True,223600
2154,2016-06-09,2016-06-08,8203,8273,-0.84,174900,174300,True,600
2155,2016-06-10,2016-06-09,8170,8203,-0.41,182200,174900,True,7300
2159,2016-06-16,2016-06-15,8140,8206,-0.8,189200,169800,True,19400
2165,2016-06-24,2016-06-23,8088,8270,-2.2,297600,154100,True,143500
2179,2016-07-15,2016-07-14,8541,8565,-0.28,221700,153900,True,67800
2186,2016-07-26,2016-07-25,8590,8635,-0.52,154800,150000,True,4800
2196,2016-08-09,2016-08-08,8678,8711,-0.38,200100,172600,True,27500
2207,2016-08-25,2016-08-24,8592,8650,-0.67,213100,149600,True,63500
2215,2016-09-07,2016-09-06,8917,8943,-0.28,290100,195600,True,94500
2218,2016-09-12,2016-09-09,8715,8866,-1.7,184500,175900,True,8600
2223,2016-09-20,2016-09-19,8775,8808,-0.37,136500,131700,True,4800
2226,2016-09-23,2016-09-22,8831,8867,-0.4,185900,172800,True,13100
2230,2016-09-29,2016-09-28,8591,8745,-1.76,372900,165500,True,207400
2235,2016-10-06,2016-10-05,8709,8743,-0.39,163600,157200,True,6400
2238,2016-10-13,2016-10-10,8573,8708,-1.56,212300,108400,True,103900
2240,2016-10-17,2016-10-14,8520,8583,-0.73,197400,162800,True,34600
2247,2016-10-26,2016-10-25,8615,8691,-0.88,219300,189800,True,29500
2252,2016-11-03,2016-11-02,8484,8514,-0.34,170500,155300,True,15200
